0.000111650176320636+-0.000203822105293023i,0.000107650564746203+7.22513044091553e-05i,-0.000271857014876927+9.59884576744497e-05i,3.80211491193639e-05+5.6786770286436e-05i,2.07012935411507e-05+0.000161489271665282i,-0.00024403257904256+0.000258799007036167i,-0.00041278152110989+0.000645033539359329i,-0.000105860610636171+-0.000105918539610219i,-0.000187353499818189+6.24798797178703e-05i,0.000657051090515414+9.38209720269528e-05i,-0.000223713638169307+-0.000164457378190652i,-0.000174827571654685+-5.14475008363478e-05i,-5.02681157257162e-05+-0.00109566826305955i,0.000124698364591308+0.000118925135882341i,0.000456030135851784+-0.000505039249777387i,-0.000109729510007408+0.000152439645690944i
3.53883121756692e-05+0.000175764525387313i,-0.000579067083808144+-0.000139873454529728i,0.000385388470579843+-8.64605242109619e-05i,-0.000128497695453406+-0.000159305255020605i,2.94517172515558e-06+0.00101544191437701i,4.7025853391746e-05+-0.000316447665745513i,-0.000343713605852651+0.00109990430426495i,-7.45031825924725e-05+7.32953566931055e-05i,-0.000205534063984521+-0.000186280623199209i,0.000181566830472357+-1.49305511726849e-05i,5.04353896625013e-05+-0.000263028937474697i,-7.2352893324567e-05+0.000117033078840581i,4.76822765301218e-05+-0.000750996890219524i,0.000168043476609499+-2.07263914652878e-05i,0.000373716347132642+-0.000822405601682463i,0.000102013788692901+8.15177071006637e-05i
-6.55247947659877e-05+-8.98743221463052e-05i,-0.000311068111031288+0.000115903805684388i,-0.000397017856931433+-0.000176135657680504i,-9.27399806745343e-05+7.74132279320175e-05i,2.0297755282201e-05+0.000729652017186762i,0.000135231874559453+0.000333529650075076i,-0.000218856637369728+0.00111951867799663i,0.000133183099842418+8.3636710551476e-05i,-0.000211776801416752+0.000286251987851961i,-0.00049710479435391+-0.000115415192561954i,0.000160606624604962+-7.49111441233975e-05i,0.000118597893297311+4.3473720616951e-05i,4.0475782062011e-05+0.0002343457221686i,-5.75189955909919e-05+-9.52054457411789e-05i,0.000599160543538147+-0.00107303425112185i,7.71518262285512e-05+-3.77555366203382e-05i
-0.000138260011639891+-3.70446843898366e-05i,0.000448503022942529+1.53956410792482e-05i,0.000257527595356112+-0.000226339299199974i,0.000106147793686281+2.6297214920629e-06i,0.000115185432568324+0.000377436022267477i,5.55212313987348e-05+-0.000305675445704187i,0.000230183594764005+0.000891483956816597i,-1.35184693273183e-06+-8.61063385586743e-05i,-7.34151967842307e-05+-0.000335544086537634i,-0.000469391864849176+0.000183036409493975i,-0.000315544851938686+5.19606886818745e-05i,0.000126576932511239+-4.36981963479046e-05i,1.35114106798004e-05+0.000496719695232936i,-0.000198712258816102+0.000212560532784441i,0.000828994229195324+-0.00117097309540874i,-0.000115908906941867+-8.79958516068391e-07i
-9.88582055713355e-05+0.000175615842472205i,0.000583346538154005+-0.000152028614161639i,-7.58704921273454e-05+-6.32916244744987e-05i,0.000151418759475984+-0.000118136213818146i,-1.81646466146557e-05+-0.000348315783311778i,-5.34881446762037e-05+0.000234764605233996i,0.000405210970465334+0.000214804673291278i,-0.000133604356992929+1.21912784778262e-05i,9.77375131796614e-06+0.000318763311265841i,0.000384565698986215+-0.000118582231238979i,0.000387944779042522+0.000185724741849361i,-0.000115261651773093+0.000133902167774529i,-0.000149570610676219+0.000714337338712564i,-0.000170895291663847+-0.00031430099019002i,0.000570823018373694+-0.000961552289364423i,1.64384355368133e-05+0.000121165978092994i
1.97975251660361e-05+-0.000291590879116415i,-0.000322853331507376+0.000194403300978582i,-2.53914262504031e-05+4.83662653834535e-05i,-7.70622056158665e-05+0.000100784591985155i,-0.000110305795742775+-0.000742861161617629i,-0.000168603336307715+-0.000128880254107734i,0.000250754129898981+-0.000210485018059082i,5.57762538537408e-05+0.000180828349300216i,0.000158211821608172+-0.00023752255585907i,0.000699301557957886+-2.53743832426076e-05i,-0.0003301651796804+0.000203814027394698i,-0.00018482383368288+-3.12226523964724e-06i,6.81726907176707e-05+0.000292275368050309i,9.40816165645948e-05+0.000384923002620006i,0.000338936171877158+-0.00131661012983717i,0.000104770336317301+0.0001158074855947i
0.000159278605124192+0.000355386092782136i,-0.00080401866127478+-0.00013401243359703i,0.000127127955841344+0.000159591261436097i,-0.000163690166274938+-1.3341294745187e-05i,5.5929553345149e-05+-0.000872083141045297i,-0.000124450308842669+1.53398522945723e-06i,0.000309110418370363+-0.000105402973386023i,8.62840424526103e-05+-2.23742538604361e-05i,0.000136000759266855+0.000111035293239595i,-0.000280414714228686+0.000151281465466511i,0.00029767503183169+8.66243828832195e-05i,1.09097374261539e-05+-0.000113734290324929i,5.11752734199622e-06+0.000132897017354189i,0.000170122813942403+-0.000412593410663559i,0.000207348590289372+-0.0012178474166455i,-9.99776125556445e-05+-0.000132215380595451i
0.0001756505763955+-0.000351161141833494i,0.000259302177935563+6.19892843798555e-06i,-0.000169098171404252+0.000239029982976769i,-3.22683953388087e-05+1.35319235379635e-06i,-7.91311177587984e-05+-0.000832350069411207i,-6.74812915478718e-05+0.000129708522099577i,0.00063076475880366+-0.000550241805196196i,-8.26987180454304e-05+-7.203037534612e-05i,0.000109602552829849+2.85014596358908e-05i,-0.000870481742894249+-0.000213507033455665i,-0.000275035485185927+-4.72872143884804e-05i,0.000129435756749663+0.000169713457378576i,1.7642345281023e-06+-0.000580232414209909i,0.000112213083015536+0.000390996069413363i,-9.66096862407111e-05+-0.00118928232770205i,-0.000104650583812328+-1.7404469725252e-05i
0.000104548253622928+0.000282137019458296i,0.000843036481661146+0.000151623933768953i,0.000260261455733157+0.000127052934121574i,0.000134723614139919+8.58889789127388e-05i,3.34851883990421e-05+-2.37481512184433e-05i,-6.83044098588089e-05+-0.000245131067112042i,0.000825689978089323+-0.000849457719852743i,-6.00250733272496e-05+8.8725406382538e-06i,-0.000134958045201208+-0.000145445214420813i,0.000236515187094487+0.000160568820704385i,0.000214403568995326+-0.000132684510024257i,4.78640038799349e-05+-4.62591672351072e-05i,4.3928810067553e-05+-0.000549742974095347i,0.000245324047631269+-0.000320908693293472i,-0.000555956472830778+-0.00130961843116084i,0.000136512931328201+0.000149607311256351i
9.68077906964775e-05+-0.000169052510925141i,-0.000144357282724478+-0.000222357523655522i,-0.000341034110601521+1.62572044250198e-05i,0.000115919785399178+-9.55290508746017e-05i,-5.42401519609066e-05+6.18415332839886e-05i,6.54432318217531e-05+0.000325670451007627i,0.000262018227956509+-0.00115006299447686i,0.000103407422442098+0.000119471010781837i,-0.000139146821506869+0.000211632431265324i,0.000742749881499531+6.89857860967461e-07i,-0.000157362952439956+-0.000241766238758357i,-0.0001332363119183+-6.23825483812779e-05i,-8.35661950511616e-05+-0.000338275713434999i,0.000393443811488137+0.000211501991798725i,-0.000730003430061885+-0.000971694882971802i,5.11833628714634e-05+-1.33529944559923e-05i
